编号,更新时间,名称,累计确诊,累计疑似,累计治愈,累计死亡,累计重症,累计境外输入,当日新增确诊,当日新增疑似,当日新增治愈,当日新增死亡,当日新增重症,当日现存确诊,当日境外输入,病死率
95291,2020-04-01 12:34:51,苏丹,7,0,0,2,0,,1.0,0.0,0.0,0.0,0.0,5,,0.29
956789,2020-03-31 14:26:05,安哥拉,7,0,1,2,0,,,0.0,,,0.0,4,,0.29
8197,2020-04-01 08:38:13,博茨瓦纳,4,0,0,1,0,,1.0,0.0,0.0,1.0,0.0,3,,0.25
95783,2020-03-30 09:33:45,冈比亚,4,0,0,1,0,,,0.0,,,0.0,3,,0.25
95787,2020-03-29 12:40:40,尼加拉瓜,4,0,0,1,0,,,0.0,,,0.0,3,,0.25
87656,2020-03-27 11:32:45,开曼群岛,5,0,0,1,0,,,0.0,,,0.0,4,,0.2
8134,2020-04-01 08:07:49,毛里塔尼亚,6,0,2,1,0,,1.0,0.0,0.0,1.0,0.0,3,,0.17
95306,2020-03-31 00:00:31,佛得角,6,0,0,1,0,,,0.0,,,0.0,5,,0.17
856671,2020-03-31 00:00:31,荷属安的列斯,7,0,0,1,0,,,0.0,,,0.0,6,,0.14
15,2020-04-01 00:52:03,意大利,105792,0,15729,12428,0,,4053.0,,1109.0,837.0,,77635,,0.12
95303,2020-04-01 00:00:31,圭亚那,8,0,0,1,0,,,,,,,7,,0.12
8162,2020-03-31 07:37:20,津巴布韦,8,0,0,1,0,,,0.0,,,0.0,7,,0.12
95309,2020-04-01 00:00:31,尼日尔,27,0,0,3,0,,,,,,,24,,0.11
95891,2020-04-01 00:00:31,圣马力诺,230,0,13,25,0,,,,,,,192,,0.11
898,2020-04-01 12:21:58,孟加拉国,51,0,25,5,0,,2.0,0.0,6.0,0.0,0.0,21,,0.1
954467,2020-03-31 13:19:08,叙利亚,10,0,0,1,0,,,,,,,9,,0.1
20,2020-04-01 09:24:57,西班牙,95923,0,19259,8464,0,,1506.0,0.0,2479.0,275.0,0.0,68200,,0.09
9524546,2020-04-01 12:28:46,印度尼西亚,1528,0,59,136,0,,114.0,0.0,0.0,14.0,0.0,1333,,0.09
95120,2020-04-01 11:13:59,荷兰,12667,0,253,1040,0,,72.0,0.0,0.0,1.0,0.0,11374,,0.08
14,2020-04-01 10:31:39,英国,25481,0,179,1793,0,,3340.0,0.0,28.0,385.0,0.0,23509,,0.07
9534324,2020-04-01 10:03:44,伊拉克,694,0,170,50,0,,64.0,0.0,18.0,4.0,0.0,474,,0.07
8143,2020-04-01 07:52:14,刚果（金）,109,0,3,8,0,,11.0,0.0,0.0,0.0,0.0,98,,0.07
95mali,2020-04-01 00:00:31,马里,28,0,0,2,0,,,,,,,26,,0.07
10,2020-04-01 11:41:59,法国,52836,0,9522,3532,0,,4708.0,0.0,78.0,9.0,0.0,39782,,0.07
8173,2020-04-01 11:35:59,缅甸,15,0,0,1,0,,1.0,0.0,0.0,1.0,0.0,14,,0.07
826,2020-04-01 00:00:31,伊朗,44606,0,14656,2898,0,,,,,,,27052,,0.06
954332,2020-04-01 11:44:38,比利时,12775,0,1696,705,0,,876.0,0.0,1021.0,192.0,0.0,10374,,0.06
9577890,2020-04-01 08:17:54,埃及,710,0,157,46,0,,54.0,0.0,7.0,5.0,0.0,507,,0.06
899,2020-04-01 07:54:21,阿尔巴尼亚,243,0,52,15,0,,20.0,0.0,8.0,4.0,0.0,176,,0.06
95858585,2020-04-01 08:37:48,摩洛哥,617,0,24,36,0,,61.0,0.0,9.0,3.0,0.0,557,,0.06
95290,2020-04-01 07:26:13,加蓬,18,0,0,1,0,,2.0,0.0,0.0,0.0,0.0,17,,0.06
95215,2020-04-01 00:00:31,玻利维亚,107,0,0,6,0,,,,,,,101,,0.06
9509,2020-04-01 11:52:14,阿尔及利亚,716,0,46,44,0,,132.0,0.0,9.0,9.0,0.0,626,,0.06
953487,2020-04-01 11:08:17,布基纳法索,261,0,32,14,0,,15.0,0.0,1.0,2.0,0.0,215,,0.05
8115,2020-04-01 00:00:31,洪都拉斯,141,0,3,7,0,,,,,,,131,,0.05
8145,2020-04-01 00:00:31,坦桑尼亚,19,0,1,1,0,,,,,,,17,,0.05
95000011,2020-04-01 11:49:23,多米尼加,1109,0,5,51,0,,208.0,0.0,1.0,9.0,0.0,1053,,0.05
9509765,2020-04-01 10:26:39,巴拉圭,65,0,1,3,0,,1.0,0.0,0.0,0.0,0.0,61,,0.05
23,2020-04-01 10:35:47,瑞典,4435,0,16,180,0,,407.0,0.0,0.0,34.0,0.0,4239,,0.04
8101,2020-03-27 20:27:46,法属圭亚那,23,0,0,1,0,,,0.0,,,0.0,22,,0.04
0,2020-04-01 14:31:31,中国,82640,183,76417,3321,466,806.0,95.0,0.0,192.0,7.0,-62.0,2902,35.0,0.04
951234567,2020-04-01 08:02:22,巴西,5717,0,127,201,0,,1138.0,0.0,7.0,42.0,0.0,5389,,0.04
839,2020-04-01 00:57:42,希腊,1314,0,42,49,0,,102.0,0.0,0.0,6.0,0.0,1223,,0.04
95237,2020-04-01 00:00:31,特立尼达和多巴哥,85,0,1,3,0,,,,,,,81,,0.04
17,2020-04-01 12:34:15,菲律宾,2084,0,49,88,0,,538.0,0.0,7.0,10.0,0.0,1947,,0.04
9507896,2020-04-01 12:21:07,塞尔维亚,900,0,0,23,0,,115.0,0.0,0.0,7.0,0.0,877,,0.03
13,2020-04-01 01:38:26,印度,1397,0,124,35,0,,146.0,0.0,22.0,3.0,0.0,1238,,0.03
956475,2020-04-01 11:47:28,丹麦,3039,0,77,90,0,,179.0,0.0,0.0,0.0,0.0,2872,,0.03
958888,2020-04-01 09:15:11,阿根廷,1054,0,240,27,0,,88.0,0.0,168.0,3.0,0.0,787,,0.03
95390,2020-04-01 07:42:22,秘鲁,1065,0,394,30,0,,115.0,0.0,380.0,6.0,0.0,641,,0.03
81134,2020-03-27 08:38:06,关岛,37,0,0,1,0,,,0.0,,,0.0,36,,0.03
95102,2020-04-01 11:17:57,厄瓜多尔,2302,0,58,79,0,,336.0,0.0,4.0,17.0,0.0,2165,,0.03
95294,2020-04-01 00:00:31,危地马拉,36,0,10,1,0,,,,,,,25,,0.03
8133,2020-04-01 00:00:31,波多黎各,64,0,0,2,0,,,,,,,62,,0.03
8102,2020-03-31 09:44:03,多哥共和国,34,0,10,1,0,,,0.0,,,0.0,23,,0.03
95732,2020-04-01 08:43:23,加纳,161,0,3,5,0,,9.0,0.0,1.0,0.0,0.0,153,,0.03
9522222,2020-04-01 13:58:32,匈牙利,492,0,37,16,0,,45.0,0.0,3.0,1.0,0.0,439,,0.03
9577772,2020-04-01 07:38:32,突尼斯,394,0,3,10,0,,32.0,0.0,0.0,2.0,0.0,381,,0.03
95643,2020-04-01 08:38:01,安道尔,376,0,10,12,0,,6.0,0.0,0.0,4.0,0.0,354,,0.03
95677,2020-04-01 10:54:37,罗马尼亚,2245,0,220,69,0,,136.0,0.0,11.0,4.0,0.0,1956,,0.03
872,2020-04-01 08:55:20,乌克兰,645,0,10,17,0,,97.0,0.0,2.0,4.0,0.0,618,,0.03
95800,2020-04-01 07:47:04,毛里求斯,143,0,0,5,0,,0.0,0.0,0.0,2.0,0.0,138,,0.03
835,2020-04-01 10:33:02,瑞士,16605,0,1823,433,0,,429.0,0.0,0.0,60.0,0.0,14349,,0.03
95327,2020-04-01 11:20:22,巴拿马,1181,0,9,30,0,,106.0,0.0,0.0,3.0,0.0,1142,,0.03
95886,2020-04-01 00:00:31,牙买加,36,0,2,1,0,,,,,,,33,,0.03
829,2020-04-01 12:29:02,黎巴嫩,463,0,35,12,0,,17.0,0.0,3.0,1.0,0.0,416,,0.03
1,2020-04-01 14:02:32,日本,2945,0,1043,77,0,,22.0,,0.0,0.0,,1825,,0.03
8,2020-04-01 12:34:42,马来西亚,2766,0,537,43,0,,140.0,0.0,58.0,6.0,0.0,2186,,0.02
821,2020-04-01 12:21:32,肯尼亚,59,0,1,1,0,,9.0,0.0,0.0,0.0,0.0,57,,0.02
7,2020-04-01 11:57:51,美国,189510,0,7109,3900,0,,25256.0,0.0,1564.0,947.0,0.0,178501,,0.02
96745,2020-04-01 09:47:46,墨西哥,1215,0,4,29,0,,121.0,0.0,0.0,1.0,0.0,1182,,0.02
95693,2020-04-01 07:26:43,哥伦比亚,906,0,31,16,0,,108.0,0.0,21.0,6.0,0.0,859,,0.02
9568067,2020-04-01 07:52:30,塞浦路斯,262,0,4,6,0,,32.0,0.0,0.0,0.0,0.0,252,,0.02
95076,2020-04-01 10:56:02,约旦,274,0,30,5,0,,6.0,0.0,4.0,0.0,0.0,239,,0.02
959333,2020-04-01 10:00:22,摩纳哥,52,0,1,1,0,,3.0,0.0,0.0,0.0,0.0,50,,0.02
4,2020-04-01 09:43:46,韩国,9887,0,5408,162,0,,101.0,0.0,0.0,0.0,0.0,4317,,0.02
846,2020-04-01 10:55:30,北马其顿,329,0,12,7,0,,70.0,0.0,9.0,1.0,0.0,310,,0.02
851,2020-04-01 11:00:08,立陶宛,533,0,7,8,0,,49.0,0.0,6.0,1.0,0.0,518,,0.02
852,2020-04-01 10:55:06,阿塞拜疆,298,0,26,5,0,,25.0,0.0,0.0,1.0,0.0,267,,0.02
95682,2020-04-01 11:37:25,葡萄牙,7443,0,43,160,0,,1035.0,0.0,0.0,20.0,0.0,7240,,0.02
879,2020-04-01 00:00:31,波黑,411,0,17,10,0,,,,,,,384,,0.02
95106,2020-04-01 09:15:03,爱尔兰,3235,0,5,71,0,,325.0,0.0,0.0,17.0,0.0,3159,,0.02
95384,2020-04-01 00:00:31,委内瑞拉,135,0,39,3,0,,,,,,,93,,0.02
95329,2020-04-01 14:27:00,古巴,170,0,4,4,0,,31.0,0.0,0.0,1.0,0.0,162,,0.02
897,2020-04-01 08:43:15,保加利亚,399,0,17,8,0,,40.0,0.0,2.0,0.0,0.0,374,,0.02
95046,2020-04-01 01:35:55,土耳其,13531,0,243,214,0,,2704.0,0.0,81.0,46.0,0.0,13074,,0.02
954444,2020-04-01 11:36:32,斯洛文尼亚,802,0,10,15,0,,46.0,0.0,0.0,4.0,0.0,777,,0.02
953333,2020-04-01 08:13:33,阿富汗,196,0,2,4,0,,22.0,0.0,0.0,0.0,0.0,190,,0.02
896,2020-04-01 10:59:43,摩尔多瓦,353,0,22,4,0,,55.0,0.0,7.0,2.0,0.0,327,,0.01
9532556,2020-04-01 13:58:24,亚美尼亚,532,0,30,3,0,,51.0,0.0,0.0,0.0,0.0,499,,0.01
11,2020-04-01 11:37:34,阿联酋,664,0,61,6,0,,53.0,0.0,0.0,1.0,0.0,597,,0.01
6,2020-04-01 09:27:09,德国,71808,0,16100,775,0,,4923.0,0.0,2600.0,130.0,0.0,54933,,0.01
845,2020-04-01 10:59:53,爱沙尼亚,745,0,34,4,0,,30.0,0.0,0.0,1.0,0.0,707,,0.01
957873,2020-04-01 10:35:03,挪威,4641,0,13,39,0,,26.0,0.0,0.0,1.0,0.0,4589,,0.01
95632,2020-04-01 08:04:13,科特迪瓦,179,0,7,1,0,,11.0,0.0,1.0,0.0,0.0,171,,0.01
888779,2020-03-30 07:59:41,科索沃,94,0,1,1,0,,,0.0,,,0.0,92,,0.01
834,2020-04-01 10:34:03,奥地利,10180,0,1095,128,0,,209.0,0.0,0.0,0.0,0.0,8957,,0.01
850,2020-04-01 00:00:31,白俄罗斯,152,0,47,1,0,,,,,,,104,,0.01
833,2020-04-01 11:04:14,克罗地亚,867,0,67,6,0,,77.0,0.0,3.0,0.0,0.0,794,,0.01
9511111,2020-04-01 08:26:36,尼日利亚,139,0,9,2,0,,8.0,0.0,6.0,0.0,0.0,128,,0.01
8104,2020-03-31 00:00:31,马提尼克岛,91,0,0,1,0,,,0.0,,,0.0,90,,0.01
8100,2020-04-01 07:36:43,哥斯达黎加,347,0,4,2,0,,17.0,0.0,1.0,0.0,0.0,341,,0.01
950777,2020-04-01 10:54:58,巴基斯坦,1940,0,58,26,0,,223.0,0.0,29.0,8.0,0.0,1856,,0.01
12,2020-04-01 06:52:05,加拿大,8591,0,466,101,0,,1143.0,0.0,0.0,14.0,0.0,8024,,0.01
95747,2020-04-01 12:21:00,喀麦隆,193,0,3,2,0,,51.0,0.0,0.0,0.0,0.0,188,,0.01
8105,2020-04-01 00:00:31,文莱,129,0,45,1,0,,,,,,,83,,0.01
95888822,2020-04-01 12:21:39,沙特阿拉伯,1563,0,165,10,0,,110.0,0.0,50.0,2.0,0.0,1388,,0.01
957777,2020-04-01 07:57:53,捷克,3257,0,45,31,0,,256.0,0.0,20.0,8.0,0.0,3181,,0.01
2,2020-04-01 14:02:04,泰国,1771,0,127,12,0,,120.0,0.0,0.0,2.0,0.0,1632,,0.01
21,2020-04-01 11:37:17,斯里兰卡,142,0,16,2,0,,20.0,0.0,1.0,1.0,0.0,124,,0.01
95293,2020-04-01 10:55:38,黑山,109,0,0,1,0,,18.0,0.0,0.0,0.0,0.0,108,,0.01
950000,2020-03-31 21:29:05,巴勒斯坦,117,0,18,1,0,,,0.0,,,0.0,98,,0.01
95703,2020-04-01 14:21:53,乌兹别克斯坦,172,0,7,2,0,,5.0,0.0,0.0,0.0,0.0,163,,0.01
95436,2020-04-01 08:31:03,阿曼,192,0,34,1,0,,13.0,0.0,5.0,1.0,0.0,157,,0.01
18,2020-04-01 11:19:27,芬兰,1418,0,10,17,0,,34.0,0.0,0.0,0.0,0.0,1391,,0.01
874,2020-04-01 08:14:15,波兰,2311,0,13,33,0,,256.0,0.0,0.0,2.0,0.0,2265,,0.01
16,2020-04-01 12:28:54,俄罗斯,2337,0,121,17,0,,501.0,0.0,55.0,8.0,0.0,2199,,0.01
95400,2020-04-01 14:02:59,哈萨克斯坦,343,0,24,2,0,,3.0,0.0,0.0,0.0,0.0,317,,0.01
95103,2020-04-01 10:55:14,卢森堡,2178,0,6,23,0,,190.0,0.0,0.0,1.0,0.0,2149,,0.01
9584332,2020-04-01 14:24:27,巴林,567,0,295,4,0,,52.0,0.0,16.0,0.0,0.0,268,,0.01
89665,2020-03-28 00:00:31,瓜德罗普,73,0,0,1,0,,,0.0,,,0.0,72,,0.01
811192,2020-04-01 00:00:31,圣基茨和尼维斯,7,0,0,0,0,,,,,,,7,,0.0
9512111,2020-03-31 00:00:31,不丹,4,0,0,0,0,,,0.0,,,0.0,4,,0.0
95672,2020-04-01 00:00:31,列支敦士登,64,0,0,0,0,,,,,,,64,,0.0
879903,2020-03-27 11:40:20,圣文森特和格林纳丁斯,1,0,0,0,0,,,0.0,,,0.0,1,,0.0
953333666,2020-04-01 11:04:23,拉脱维亚,398,0,1,0,0,,22.0,0.0,0.0,0.0,0.0,397,,0.0
82333,2020-03-27 11:33:37,格恩西岛,1,0,0,0,0,,,0.0,,,0.0,1,,0.0
94367,2020-03-28 00:00:31,安提瓜和巴布达,7,0,0,0,0,,,0.0,,,0.0,7,,0.0
95jnybs,2020-04-01 00:00:31,几内亚比绍,8,0,0,0,0,,,,,,,8,,0.0
95010,2020-04-01 11:36:39,冰岛,1135,0,198,2,0,,49.0,0.0,41.0,0.0,0.0,935,,0.0
84326,2020-03-31 00:00:31,圣卢西亚,9,0,1,0,0,,,0.0,,,0.0,8,,0.0
95844,2020-04-01 12:34:33,埃塞俄比亚,25,0,2,0,0,,2.0,0.0,0.0,0.0,0.0,23,,0.0
95879,2020-03-30 00:00:31,梵蒂冈,6,0,0,0,0,,,0.0,,,0.0,6,,0.0
19,2020-03-29 00:00:30,尼泊尔,5,0,1,0,0,,,0.0,,,0.0,4,,0.0
95jibuti,2020-04-01 11:36:23,吉布提,30,0,0,0,0,,5.0,0.0,0.0,0.0,0.0,30,,0.0
954356,2020-04-01 10:55:54,塞舌尔,10,0,0,0,0,,2.0,0.0,0.0,0.0,0.0,10,,0.0
950611,2020-04-01 13:58:43,格鲁吉亚,108,0,21,0,0,,10.0,0.0,3.0,0.0,0.0,87,,0.0
95634,2020-04-01 07:15:05,卡塔尔,781,0,62,2,0,,88.0,0.0,11.0,1.0,0.0,717,,0.0
22,2020-04-01 00:00:31,柬埔寨,109,0,23,0,0,,,,,,,86,,0.0
95239,2020-03-31 00:00:31,海地,15,0,1,0,0,,,0.0,,,0.0,14,,0.0
95047,2020-03-23 19:41:46,巴布亚新几内亚,1,0,0,0,0,,,0.0,,,0.0,1,,0.0
81113,2020-03-27 09:17:01,法属波利尼西亚,25,0,0,0,0,,,0.0,,,0.0,25,,0.0
95287,2020-03-07 00:00:31,圣马丁岛,2,0,0,0,0,,,0.0,,,0.0,2,,0.0
83356,2020-03-27 11:30:54,泽西岛,18,0,0,0,0,,,0.0,,,0.0,18,,0.0
8135,2020-03-29 03:57:49,纳米比亚,11,0,0,0,0,,,0.0,,,0.0,11,,0.0
950101010,2020-04-01 00:00:31,马尔代夫,18,0,13,0,0,,,,,,,5,,0.0
95382,2020-03-07 00:00:31,圣巴托洛谬岛,1,0,0,0,0,,,0.0,,,0.0,1,,0.0
95389,2020-03-19 20:28:24,格陵兰,1,0,0,0,0,,,0.0,,,0.0,1,,0.0
956666,2020-04-01 07:20:35,智利,2738,0,156,12,0,,289.0,0.0,0.0,4.0,0.0,2570,,0.0
95394,2020-04-01 09:44:21,乌拉圭,338,0,41,1,0,,18.0,0.0,35.0,0.0,0.0,296,,0.0
8103,2020-03-31 00:00:31,法罗群岛,159,0,0,0,0,,,0.0,,,0.0,159,,0.0
84465,2020-03-27 09:23:10,萨尔多瓦,1,0,0,0,0,,,0.0,,,0.0,1,,0.0
84226,2020-03-27 08:48:42,马约特岛,30,0,0,0,0,,,0.0,,,0.0,30,,0.0
95350,2020-03-31 00:00:31,巴哈马,14,0,1,0,0,,,0.0,,,0.0,13,,0.0
95118,2020-03-31 21:41:52,老挝,9,0,0,0,0,,,0.0,,,0.0,9,,0.0
9500222,2020-04-01 12:21:46,塞内加尔,175,0,40,0,0,,13.0,0.0,12.0,0.0,0.0,135,,0.0
9511123,2020-04-01 14:30:39,新西兰,647,0,74,1,0,,47.0,0.0,0.0,0.0,0.0,572,,0.0
87435,2020-03-31 02:14:11,利比亚,8,0,0,0,0,,,0.0,,,0.0,8,,0.0
893,2020-04-01 11:33:08,马耳他,169,0,2,0,0,,13.0,0.0,0.0,0.0,0.0,167,,0.0
95198,2020-04-01 10:04:41,布隆迪,2,0,0,0,0,,2.0,0.0,0.0,0.0,0.0,2,,0.0
880,2020-04-01 10:13:00,南非,1353,0,31,5,0,,27.0,0.0,0.0,2.0,0.0,1317,,0.0
80902,2020-03-31 00:00:31,蒙特塞拉特,5,0,0,0,0,,,0.0,,,0.0,5,,0.0
878,2020-03-06 00:00:31,波斯尼亚,1,0,0,0,0,,,0.0,,,0.0,1,,0.0
95826,2020-04-01 12:20:12,蒙古,14,0,0,0,0,,2.0,0.0,0.0,0.0,0.0,14,,0.0
875097,2020-03-31 00:00:31,美属维尔京群岛,19,0,0,0,0,,,0.0,,,0.0,19,,0.0
827,2020-04-01 08:27:50,以色列,5358,0,224,20,0,,663.0,0.0,63.0,4.0,0.0,5114,,0.0
89566,2020-03-27 11:18:38,圣巴泰勒米,3,0,0,0,0,,,0.0,,,0.0,3,,0.0
9,2020-04-01 14:19:21,越南,212,0,58,0,0,,5.0,0.0,1.0,0.0,0.0,154,,0.0
5,2020-04-01 08:17:25,澳大利亚,4707,0,244,20,0,,0.0,0.0,0.0,0.0,0.0,4443,,0.0
3,2020-04-01 00:00:31,新加坡,926,0,212,3,0,,,,,,,711,,0.0
8132,2020-04-01 00:00:31,法属留尼汪岛,47,0,0,0,0,,,,,,,47,,0.0
8136,2020-04-01 10:54:46,赤道几内亚,15,0,1,0,0,,1.0,0.0,1.0,0.0,0.0,14,,0.0
8130,2020-03-31 08:09:56,几内亚,22,0,1,0,0,,,0.0,,,0.0,21,,0.0
8131,2020-04-01 09:14:55,卢旺达,75,0,0,0,0,,5.0,0.0,0.0,0.0,0.0,75,,0.0
95711,2020-04-01 00:00:31,多米尼克,12,0,0,0,0,,,,,,,12,,0.0
95904,2020-03-27 00:00:31,直布罗陀,3,0,0,0,0,,,0.0,,,0.0,3,,0.0
95903,2020-04-01 10:13:14,斯洛伐克,363,0,7,1,0,,27.0,0.0,0.0,1.0,0.0,355,,0.0
9577665,2020-04-01 09:15:39,科威特,289,0,73,0,0,,23.0,0.0,1.0,0.0,0.0,216,,0.0
9523416782,2020-03-22 00:00:31,东帝汶,1,0,0,0,0,,,0.0,,,0.0,1,,0.0
95786,2020-04-01 00:00:31,萨尔瓦多,24,0,0,0,0,,,,,,,24,,0.0
95305,2020-04-01 08:08:04,苏里南,9,0,0,0,0,,1.0,0.0,0.0,0.0,0.0,9,,0.0
95251456,2020-04-01 12:22:08,吉尔吉斯斯坦,107,0,0,0,0,,13.0,0.0,0.0,0.0,0.0,107,,0.0
8172,2020-04-01 00:00:31,伯利兹,3,0,0,0,0,,,,,,,3,,0.0
95776,2020-03-27 00:00:31,斐济,5,0,0,0,0,,,0.0,,,0.0,5,,0.0
81344,2020-03-27 09:24:27,阿鲁巴,19,0,0,0,0,,,0.0,,,0.0,19,,0.0
95983,2020-03-28 01:29:37,刚果（布）,19,0,0,0,0,,,0.0,,,0.0,19,,0.0
8166,2020-04-01 12:34:25,厄立特里亚,15,0,0,0,0,,3.0,0.0,0.0,0.0,0.0,15,,0.0
8165,2020-04-01 09:15:20,乌干达,44,0,0,0,0,,11.0,0.0,0.0,0.0,0.0,44,,0.0
8168,2020-03-31 07:37:57,莫桑比克,8,0,0,0,0,,,0.0,,,0.0,8,,0.0
8151,2020-04-01 00:00:31,巴巴多斯,34,0,0,0,0,,,,,,,34,,0.0
8152,2020-04-01 11:35:50,赞比亚,36,0,0,0,0,,1.0,0.0,0.0,0.0,0.0,36,,0.0
95XXXX,2020-04-01 00:00:31,乍得,7,0,0,0,0,,,,,,,7,,0.0
95123456,2020-04-01 00:00:31,塞拉利昂,1,0,0,0,0,,1.0,0.0,0.0,0.0,0.0,1,,0.0
8148,2020-04-01 08:55:12,索马里,5,0,0,0,0,,2.0,0.0,0.0,0.0,0.0,5,,0.0
8147,2020-03-23 19:33:46,利比里亚,3,0,0,0,0,,,0.0,,,0.0,3,,0.0
8144,2020-03-29 00:00:31,中非共和国,6,0,0,0,0,,,0.0,,,0.0,6,,0.0
8146,2020-03-27 00:00:31,贝宁,6,0,0,0,0,,,0.0,,,0.0,6,,0.0
8129,2020-04-01 00:00:31,斯威士兰,9,0,0,0,0,,,,,,,9,,0.0
80001,2020-03-31 00:00:31,格林纳达,9,0,1,0,0,,,0.0,,,0.0,8,,0.0
9547021,2020-04-01 08:29:41,马达加斯加,57,0,0,0,0,,11.0,0.0,0.0,0.0,0.0,57,,0.0
